id,url,title,abstract,body,body_full,extra_sections,instancia,epoca,materias,tesis_numero,tipo,fuente,localizacion_libro,localizacion_tomo,localizacion_mes,localizacion_anio,localizacion_pagina,organo_jurisdiccional,clave,notas,formas_integracion,fecha_publicacion,extracted_at
251751,https://bj.scjn.gob.mx/documento/tesis/251751,"PRUEBAS, DESAHOGO INDEBIDO DE LAS, DE LA QUEJOSA. IMPROCEDENCIA DEL AMPARO INDIRECTO.",IMPROCEDENCIA DEL AMPARO INDIRECTO,"Es fundada la sentencia dictada por un Juez de Distrito, cuando éste sobresee en juicio de garantías en el que se impugna una resolución de Junta de Conciliación y Arbitraje que se refiere a pruebas ofrecidas por la propia quejosa, aceptadas en sus términos y que según se adujo en la demanda fueron mal desahogadas por la responsable, porque en el caso se surte la causal de improcedencia establecida por la fracción XVIII del artículo 73, en relación con la fracción III del artículo 159 de la Ley de Amparo, porque este último precepto establece que se considerarán violadas las leyes del procedimiento y que se afectan las defensas del quejoso, cuando no se le reciben las pruebas que legalmente ofreció o cuando no se reciban conforme a la ley.

PRIMER TRIBUNAL COLEGIADO EN MATERIA DE TRABAJO DEL PRIMER CIRCUITO.","Es fundada la sentencia dictada por un Juez de Distrito, cuando éste sobresee en juicio de garantías en el que se impugna una resolución de Junta de Conciliación y Arbitraje que se refiere a pruebas ofrecidas por la propia quejosa, aceptadas en sus términos y que según se adujo en la demanda fueron mal desahogadas por la responsable, porque en el caso se surte la causal de improcedencia establecida por la fracción XVIII del artículo 73, en relación con la fracción III del artículo 159 de la Ley de Amparo, porque este último precepto establece que se considerarán violadas las leyes del procedimiento y que se afectan las defensas del quejoso, cuando no se le reciben las pruebas que legalmente ofreció o cuando no se reciban conforme a la ley.

PRIMER TRIBUNAL COLEGIADO EN MATERIA DE TRABAJO DEL PRIMER CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 6, página 211.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 6, página 211.""}",Tribunales Colegiados de Circuito,Séptima Época,Laboral,"PRUEBAS, DESAHOGO INDEBIDO DE LAS, DE LA QUEJOSA",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,128,PRIMER TRIBUNAL COLEGIADO EN MATERIA DE TRABAJO DEL PRIMER CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:00.508908+00:00
251752,https://bj.scjn.gob.mx/documento/tesis/251752,PRUEBAS DOCUMENTALES EN EL AMPARO INDIRECTO. CUADERNO PRINCIPAL E INCIDENTE DE SUSPENSION.,CUADERNO PRINCIPAL E INCIDENTE DE SUSPENSION,"Tomando en cuenta que el cuaderno incidental, así como el expediente principal, se tramitan por cuerda separada, las probanzas documentales que obran en uno u otro cuaderno surten todas sus consecuencias jurídicas en el propio expediente y no en el diverso, a no ser que la parte interesada ofrezca compulsa de las respectivas documentales para agregarse y ser tomadas en cuenta en el expediente en el que así lo hubiere planteado.

TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.","Tomando en cuenta que el cuaderno incidental, así como el expediente principal, se tramitan por cuerda separada, las probanzas documentales que obran en uno u otro cuaderno surten todas sus consecuencias jurídicas en el propio expediente y no en el diverso, a no ser que la parte interesada ofrezca compulsa de las respectivas documentales para agregarse y ser tomadas en cuenta en el expediente en el que así lo hubiere planteado.

TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 48, página 130.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 48, página 130.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,PRUEBAS DOCUMENTALES EN EL AMPARO INDIRECTO,Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,129,TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:00.957053+00:00
251753,https://bj.scjn.gob.mx/documento/tesis/251753,PRUEBAS EN SEGUNDA INSTANCIA EN MATERIA MERCANTIL. NO OPERA LA APLICACION SUPLETORIA DEL CODIGO DE PROCEDIMIENTOS CIVILES LOCAL.,NO OPERA LA APLICACION SUPLETORIA DEL CODIGO DE PROCEDIMIENTOS CIVILES LOCAL,"El artículo 1342 del Código de Comercio establece que las apelaciones se admitirán o denegarán de plano y se substanciarán con un solo escrito de cada parte y el informe en estrados, si las partes quisieren hacerlo. Consecuentemente, es claro que el código citado tiene su sistema propio de tramitar la apelación, no permitiendo la posibilidad de aportar pruebas en segunda instancia, por lo que debiendo limitarse el tramite de la apelación a lo dispuesto en el precepto señalado, no procede la aplicación supletoria del Código de Procedimientos Civiles local.

TRIBUNAL COLEGIADO DEL CUARTO CIRCUITO.","El artículo 1342 del Código de Comercio establece que las apelaciones se admitirán o denegarán de plano y se substanciarán con un solo escrito de cada parte y el informe en estrados, si las partes quisieren hacerlo. Consecuentemente, es claro que el código citado tiene su sistema propio de tramitar la apelación, no permitiendo la posibilidad de aportar pruebas en segunda instancia, por lo que debiendo limitarse el tramite de la apelación a lo dispuesto en el precepto señalado, no procede la aplicación supletoria del Código de Procedimientos Civiles local.

TRIBUNAL COLEGIADO DEL CUARTO CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 10, página 253.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 10, página 253.""}",Tribunales Colegiados de Circuito,Séptima Época,Civil,PRUEBAS EN SEGUNDA INSTANCIA EN MATERIA MERCANTIL,Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,130,TRIBUNAL COLEGIADO DEL CUARTO CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:01.259399+00:00
251754,https://bj.scjn.gob.mx/documento/tesis/251754,"PRUEBAS TESTIMONIAL Y PERICIAL EN EL AMPARO, ANUNCIO DE LAS, CUANDO HAY DIFERIMIENTO DE LA AUDIENCIA.",,"El sistema de la Ley de Amparo es muy estricta en la materia del diferimiento previsto en el artículo 152, lo que lleva a concluir que el derecho de anunciar las pruebas testimonial y pericial caduca cuando comienza a correr el quinto día hábil anterior a la audiencia, y una vez perdido este derecho por causa imputable al propio intestado, la formalidad del procedimiento impide que renazca cuando hay diferimiento de la audiencia, en razón de que constituiría una ventaja de la parte oferente de la prueba.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.","El sistema de la Ley de Amparo es muy estricta en la materia del diferimiento previsto en el artículo 152, lo que lleva a concluir que el derecho de anunciar las pruebas testimonial y pericial caduca cuando comienza a correr el quinto día hábil anterior a la audiencia, y una vez perdido este derecho por causa imputable al propio intestado, la formalidad del procedimiento impide que renazca cuando hay diferimiento de la audiencia, en razón de que constituiría una ventaja de la parte oferente de la prueba.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 33, página 276.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 33, página 276.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,"PRUEBAS TESTIMONIAL Y PERICIAL EN EL AMPARO, ANUNCIO DE LAS, CUANDO HAY DIFERIMIENTO DE LA AUDIENCIA",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,131,TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:01.854514+00:00
251755,https://bj.scjn.gob.mx/documento/tesis/251755,"QUEJA, CONTRA LA RESOLUCION QUE PLANTEA LA COMPETENCIA DE OTRO JUEZ DE DISTRITO ES IMPROCEDENTE EL RECURSO DE.",,"La resolución en que un Juez de Distrito declara su incompetencia para conocer de un juicio y plantea la competencia de otro Juez de Distrito, no es recurrible, ni a través del recurso de queja, en razón de que los conflictos de competencia jurisdiccional se resuelven internamente, conforme a los procedimientos que la Ley de Amparo establece, y en ellos no tienen intervención las partes en el juicio. Por otra parte, el tipo de resolución de que se trata no ocasiona a las partes daño o perjuicio alguno no reparable en la sentencia definitiva, presupuesto necesario para la procedencia del recurso de queja, porque las partes obtendrán, de cualquier manera, una sentencia de amparo, en la que no influirá, en absoluto, la materia del conflicto competencial.

SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.","La resolución en que un Juez de Distrito declara su incompetencia para conocer de un juicio y plantea la competencia de otro Juez de Distrito, no es recurrible, ni a través del recurso de queja, en razón de que los conflictos de competencia jurisdiccional se resuelven internamente, conforme a los procedimientos que la Ley de Amparo establece, y en ellos no tienen intervención las partes en el juicio. Por otra parte, el tipo de resolución de que se trata no ocasiona a las partes daño o perjuicio alguno no reparable en la sentencia definitiva, presupuesto necesario para la procedencia del recurso de queja, porque las partes obtendrán, de cualquier manera, una sentencia de amparo, en la que no influirá, en absoluto, la materia del conflicto competencial.

SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 30, página 88.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 30, página 88.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,"QUEJA, CONTRA LA RESOLUCION QUE PLANTEA LA COMPETENCIA DE OTRO JUEZ DE DISTRITO ES IMPROCEDENTE EL RECURSO DE",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,133,SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:02.844490+00:00
251756,https://bj.scjn.gob.mx/documento/tesis/251756,QUEJA IMPROCEDENTE EN CASO DE FALTA DE EMPLAZAMIENTO AL TERCERO PERJUDICADO.,,"El auto que declara no haber lugar a acordar de conformidad la petición de dejar sin efecto la audiencia constitucional celebrada con anterioridad, por no haber sido emplazado el tercero perjudicado, no causa agravio a la quejosa en el amparo, pues en todo caso, quien podría resentir algún agravio, sería el propio tercero perjudicado, a quien, en su caso, se hubiera dejado en estado de indefensión. En consecuencia, por falta de interés de la parte quejosa, el recurso que intente es improcedente.

SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.","El auto que declara no haber lugar a acordar de conformidad la petición de dejar sin efecto la audiencia constitucional celebrada con anterioridad, por no haber sido emplazado el tercero perjudicado, no causa agravio a la quejosa en el amparo, pues en todo caso, quien podría resentir algún agravio, sería el propio tercero perjudicado, a quien, en su caso, se hubiera dejado en estado de indefensión. En consecuencia, por falta de interés de la parte quejosa, el recurso que intente es improcedente.

SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 31, página 89.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 31, página 89.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,QUEJA IMPROCEDENTE EN CASO DE FALTA DE EMPLAZAMIENTO AL TERCERO PERJUDICADO,Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,133,SEGUNDO TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:03.418264+00:00
251757,https://bj.scjn.gob.mx/documento/tesis/251757,"QUEJA, RECURSO DE, SIN MATERIA.",,"Si la materia del recurso de queja versa sobre si el a quo debió o no suspender el procedimientos del juicio de garantías, hasta en tanto se resolviera diversa queja, y ésta ya fue fallada por un Tribunal Colegiado mediante la resolución correspondiente, jurídicamente la materia del recurso de queja ha cesado, máxime cuando el a quo, mediante el acuerdo respectivo, ordenó la suspensión del procedimiento hasta en tanto se resolviera el recurso de queja cuestionado.

TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.","Si la materia del recurso de queja versa sobre si el a quo debió o no suspender el procedimientos del juicio de garantías, hasta en tanto se resolviera diversa queja, y ésta ya fue fallada por un Tribunal Colegiado mediante la resolución correspondiente, jurídicamente la materia del recurso de queja ha cesado, máxime cuando el a quo, mediante el acuerdo respectivo, ordenó la suspensión del procedimiento hasta en tanto se resolviera el recurso de queja cuestionado.

TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 53, página 133.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 53, página 133.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,"QUEJA, RECURSO DE, SIN MATERIA",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,134,TERCER TRIBUNAL COLEGIADO EN MATERIA ADMINISTRATIVA DEL PRIMER CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:03.861082+00:00
251758,https://bj.scjn.gob.mx/documento/tesis/251758,"QUEJA, SUPLENCIA DE LA, EN LA REVISION.",,"La revisión de una sentencia con motivo del recurso interpuesto por un órgano técnico, como lo es el agente del Ministerio Público Federal adscrito al tribunal que dictó el fallo, impugnado, debe hacerse de estricto derecho, esto es, exclusivamente a través de los agravios expresados por la parte recurrente, dado que la suplencia de la queja en materia penal sólo se surte a favor del quejoso en términos del tercer párrafo del artículo 76 de la Ley de Amparo.

TRIBUNAL COLEGIADO DEL DECIMO CIRCUITO.","La revisión de una sentencia con motivo del recurso interpuesto por un órgano técnico, como lo es el agente del Ministerio Público Federal adscrito al tribunal que dictó el fallo, impugnado, debe hacerse de estricto derecho, esto es, exclusivamente a través de los agravios expresados por la parte recurrente, dado que la suplencia de la queja en materia penal sólo se surte a favor del quejoso en términos del tercer párrafo del artículo 76 de la Ley de Amparo.

TRIBUNAL COLEGIADO DEL DECIMO CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 41, página 338.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 41, página 338.""}",Tribunales Colegiados de Circuito,Séptima Época,Común,"QUEJA, SUPLENCIA DE LA, EN LA REVISION",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,134,TRIBUNAL COLEGIADO DEL DÉCIMO CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:04.531959+00:00
251759,https://bj.scjn.gob.mx/documento/tesis/251759,"QUIEBRA, INTERVENTOR EN LA, COMO TERCERO PERJUDICADO.",,"El interventor nombrado en una quiebra tiene el carácter de tercero perjudicado en relación al juicio constitucional, porque si bien es cierto que en el procedimiento de quiebra, que es especial, no existen actor y demandado, también es verdad que en ese procedimiento existen partes que tienen interés en su tramitación, y a los que se les reconoce personalidad para intervenir en dicho procedimiento, como acontece con el interventor que representa a la junta de acreedores y con el síndico que actúa en representación de la masa de la quiebra, partes entre quienes puede haber intereses encontrados, dado que al primero de los nombrados, el artículo 67 de la Ley de Quiebras y Suspensión de Pagos le concede la facultad de recurrir las decisiones del Juez y reclamar las actividades del síndico que estime perjudiciales a sus representados.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.","El interventor nombrado en una quiebra tiene el carácter de tercero perjudicado en relación al juicio constitucional, porque si bien es cierto que en el procedimiento de quiebra, que es especial, no existen actor y demandado, también es verdad que en ese procedimiento existen partes que tienen interés en su tramitación, y a los que se les reconoce personalidad para intervenir en dicho procedimiento, como acontece con el interventor que representa a la junta de acreedores y con el síndico que actúa en representación de la masa de la quiebra, partes entre quienes puede haber intereses encontrados, dado que al primero de los nombrados, el artículo 67 de la Ley de Quiebras y Suspensión de Pagos le concede la facultad de recurrir las decisiones del Juez y reclamar las actividades del síndico que estime perjudiciales a sus representados.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 39, página 279.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 39, página 279.""}",Tribunales Colegiados de Circuito,Séptima Época,Civil,"QUIEBRA, INTERVENTOR EN LA, COMO TERCERO PERJUDICADO",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,135,TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:05.328963+00:00
251760,https://bj.scjn.gob.mx/documento/tesis/251760,"RECONVENCION, EL AUTO QUE MANDA ABRIR EL JUICIO A PRUEBA SIN QUE SE HAYA ACORDADO LA, ES VIOLATORIO DE GARANTIAS (LEGISLACION DEL ESTADO DE PUEBLA).",,"El Juez del conocimiento debe acordar el escrito de reconvención del demandado, cuando mucho dentro del tercer día, en términos de lo dispuesto por el artículo 31 del Código de Procedimientos Civiles del Estado de Puebla, y no puede mandar abrir el juicio a prueba sin haber acordado antes dicha promoción, ya que los autos no guardan estado para dictar dicho auto, puesto que lógica y legalmente antes se tiene que acordar el escrito de reconvención, y al no hacerlo así, el auto que manda abrir el juicio a prueba, es violatorio de garantías.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.","El Juez del conocimiento debe acordar el escrito de reconvención del demandado, cuando mucho dentro del tercer día, en términos de lo dispuesto por el artículo 31 del Código de Procedimientos Civiles del Estado de Puebla, y no puede mandar abrir el juicio a prueba sin haber acordado antes dicha promoción, ya que los autos no guardan estado para dictar dicho auto, puesto que lógica y legalmente antes se tiene que acordar el escrito de reconvención, y al no hacerlo así, el auto que manda abrir el juicio a prueba, es violatorio de garantías.

TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.

Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 34, página 276.","{""genealogia"": ""Informe 1979, Tercera Parte, Tribunales Colegiados de Circuito, tesis 34, página 276.""}",Tribunales Colegiados de Circuito,Séptima Época,Civil,"RECONVENCION, EL AUTO QUE MANDA ABRIR EL JUICIO A PRUEBA SIN QUE SE HAYA ACORDADO LA, ES VIOLATORIO DE GARANTIAS (LEGISLACION DEL ESTADO DE PUEBLA)",Tesis Aislada,Semanario Judicial de la Federación,Volumen 127-132,,1,1979,137,TRIBUNAL COLEGIADO DEL SEXTO CIRCUITO.,,,,01/01/0001 12:00:00,2026-01-11T15:16:05.694749+00:00
